display_no,date,location,capacity,status,note
P1,2026-09-22,대강의실,33,pilot,파일럿(예약시트 노란 행) — 성격 확인 필요
P2,2026-09-23,포럼관,70,pilot,파일럿(예약시트 노란 행) — 성격 확인 필요
1,2026-09-29,포럼관,150,confirmed,
2,2026-09-30,대강의실 A,33,confirmed,
3,2026-09-30,대강의실 B,33,confirmed,
4,2026-10-01,포럼관,150,confirmed,
5,2026-10-02,포럼관,150,confirmed,
6,2026-10-07,대강의실 A,33,confirmed,
7,2026-10-07,대강의실 B,33,confirmed,
8,2026-10-08,포럼관,150,confirmed,
9,2026-10-13,포럼관,100,confirmed,
10,2026-10-19,포럼관,120,confirmed,
11,2026-10-20,포럼관,70,confirmed,
12,2026-10-26,포럼관,120,confirmed,
13,2026-11-06,포럼관,150,confirmed,
14,2026-11-09,대강의실 A,33,confirmed,
15,2026-11-09,대강의실 B,33,confirmed,
16,2026-11-09,대강의실 C,33,confirmed,
17,2026-11-10,대강의실 A,33,confirmed,
18,2026-11-10,대강의실 B,33,confirmed,
19,2026-11-10,대강의실 C,33,confirmed,
20,2026-11-11,대강의실 A,33,confirmed,
21,2026-11-11,대강의실 B,33,confirmed,
22,2026-11-11,대강의실 C,33,confirmed,
23,2026-11-17,대강의실 A,33,confirmed,
24,2026-11-17,대강의실 B,33,confirmed,
25,2026-11-17,대강의실 C,33,confirmed,
26,2026-11-18,대강의실 A,33,confirmed,
27,2026-11-18,대강의실 B,33,confirmed,
28,2026-11-18,대강의실 C,33,confirmed,
29,2026-11-20,포럼관,150,confirmed,
30,,대강의실,33,tbd,일정 미정 — 예약시트 30~36 구간 표기 확인 필요
31,,대강의실,33,tbd,일정 미정 — 예약시트 30~36 구간 표기 확인 필요
32,,대강의실,33,tbd,일정 미정 — 예약시트 30~36 구간 표기 확인 필요
33,,대강의실,33,tbd,일정 미정 — 예약시트 30~36 구간 표기 확인 필요
34,,대강의실,33,tbd,일정 미정 — 예약시트 30~36 구간 표기 확인 필요
35,,대강의실,33,tbd,일정 미정 — 예약시트 30~36 구간 표기 확인 필요
36,,대강의실,33,tbd,일정 미정 — 예약시트 30~36 구간 표기 확인 필요
37,,포럼관,110,tbd,일정 미정 — 예약시트 37~40 구간 표기 확인 필요
38,,포럼관,110,tbd,일정 미정 — 예약시트 37~40 구간 표기 확인 필요
39,,포럼관,110,tbd,일정 미정 — 예약시트 37~40 구간 표기 확인 필요
40,,포럼관,110,tbd,일정 미정 — 예약시트 37~40 구간 표기 확인 필요
