team_name,org_name,sil_name,headcount
플랜트토건공조설계팀,플랜트사업본부,플랜트공간설계실,164
플랜트전계장설계팀,플랜트사업본부,플랜트시스템설계실,143
화공프로세스설계팀,플랜트사업본부,플랜트기본설계실,117
플랜트설계관리팀,플랜트사업본부,(본부 직속),95
플랜트배관설계팀,플랜트사업본부,플랜트공간설계실,84
플랜트기계설계팀,플랜트사업본부,플랜트시스템설계실,84
화공공사기술팀,플랜트사업본부,화공수행실,49
원자력설계팀,플랜트사업본부,플랜트기본설계실,46
에너지프로세스설계팀,플랜트사업본부,플랜트기본설계실,44
화공사업관리팀,플랜트사업본부,화공수행실,40
안전진단팀,안전품질본부,안전품질지원실,38
건축견적팀,건축사업본부,건축견적실,37
플랜트안전소방설계팀,플랜트사업본부,플랜트시스템설계실,35
기술견적팀,건축사업본부,건축견적실,34
비즈니스지원팀,경영지원본부,비즈니스지원실,34
물류검사팀,구매본부,구매조달실,32
구매조달1팀,구매본부,구매조달실,30
에너지공사기술팀,플랜트사업본부,에너지수행실,29
플랜트기획팀,플랜트사업본부,플랜트기획실,26
EVC사업팀,자산관리사업본부,자산기획실,25
구매조달3팀,구매본부,구매조달실,24
에너지사업관리팀,플랜트사업본부,에너지수행실,23
건축기획팀,건축사업본부,건축기획실,23
기술설계팀,건축사업본부,건축디자인실,22
CX솔루션팀,자산관리사업본부,자산사업실,22
인재운영팀,경영지원본부,비즈니스지원실,22
건축전기팀,건축사업본부,건축기술실,21
건축현장관리팀,재경본부,사업관리실,21
구매조달2팀,구매본부,구매조달실,20
건축토목팀,건축사업본부,건축기술실,19
빌딩설계팀,건축사업본부,건축디자인실,19
플랫폼1팀,경영지원본부,ICT플랫폼실,19
건축설비팀,건축사업본부,건축기술실,18
구조설계팀,건축사업본부,건축디자인실,18
건축구매팀,구매본부,구매조달실,17
플랜트공정관리팀,플랜트사업본부,플랜트수행관리실,16
화공기자재견적팀,플랜트사업본부,화공수행실,16
화공영업3팀,플랜트사업본부,화공영업실,16
주택견적팀,건축사업본부,건축견적실,16
건축프리콘팀,건축사업본부,건축수행관리실,16
주택수행1팀,건축사업본부,주택인프라수행실,16
안전보건기획팀,안전품질본부,안전보건관리실,16
플랜트현장관리팀,재경본부,사업관리실,16
플랫폼2팀,경영지원본부,ICT플랫폼실,16
에너지기자재견적팀,플랜트사업본부,에너지수행실,15
건축품질팀,건축사업본부,건축수행관리실,15
에너지영업2팀,플랜트사업본부,에너지영업실,14
플랜트RM팀,플랜트사업본부,플랜트수행관리실,14
화공영업2팀,플랜트사업본부,화공영업실,14
